time,open,high,low,close
2025-10-20 02:55:00+00:00,1.16659,1.16663,1.16642,1.16658
2025-10-20 03:00:00+00:00,1.16658,1.16659,1.16648,1.16655
2025-10-20 03:05:00+00:00,1.16658,1.16672,1.16658,1.1667
2025-10-20 03:10:00+00:00,1.1667,1.16678,1.16667,1.16667
2025-10-20 03:15:00+00:00,1.16668,1.16684,1.16663,1.16684
2025-10-20 03:20:00+00:00,1.16684,1.16684,1.16674,1.16674
2025-10-20 03:25:00+00:00,1.16674,1.16678,1.16664,1.16664
2025-10-20 03:30:00+00:00,1.16664,1.16675,1.16659,1.16673
2025-10-20 03:35:00+00:00,1.16672,1.1668,1.16668,1.16668
2025-10-20 03:40:00+00:00,1.16668,1.1667,1.16662,1.16664
2025-10-20 03:45:00+00:00,1.16663,1.16663,1.16656,1.16658
2025-10-20 03:50:00+00:00,1.16657,1.16682,1.16654,1.16668
2025-10-20 03:55:00+00:00,1.16669,1.16688,1.16666,1.16682
2025-10-20 04:00:00+00:00,1.16682,1.16689,1.16664,1.16674
2025-10-20 04:05:00+00:00,1.16674,1.16676,1.16664,1.16664
2025-10-20 04:10:00+00:00,1.16666,1.16669,1.16655,1.16657
2025-10-20 04:15:00+00:00,1.16658,1.16674,1.16658,1.16666
2025-10-20 04:20:00+00:00,1.16668,1.16675,1.16667,1.1667
2025-10-20 04:25:00+00:00,1.1667,1.1669,1.1667,1.16686
2025-10-20 04:30:00+00:00,1.16687,1.16704,1.16686,1.16695
2025-10-20 04:35:00+00:00,1.16694,1.1672,1.16694,1.16698
2025-10-20 04:40:00+00:00,1.16698,1.16714,1.16672,1.16711
2025-10-20 04:45:00+00:00,1.1671,1.16736,1.1671,1.16734
2025-10-20 04:50:00+00:00,1.16734,1.1674,1.16727,1.16731
2025-10-20 04:55:00+00:00,1.1673,1.16734,1.16714,1.16716
2025-10-20 05:00:00+00:00,1.16714,1.16716,1.16701,1.16706
2025-10-20 05:05:00+00:00,1.16705,1.16728,1.16702,1.16725
2025-10-20 05:10:00+00:00,1.16724,1.1673,1.16714,1.16724
2025-10-20 05:15:00+00:00,1.16724,1.16732,1.1672,1.16726
2025-10-20 05:20:00+00:00,1.16726,1.16729,1.1672,1.16722
2025-10-20 05:25:00+00:00,1.16722,1.16742,1.16714,1.16738
2025-10-20 05:30:00+00:00,1.16739,1.16746,1.16731,1.16746
2025-10-20 05:35:00+00:00,1.16746,1.16756,1.16734,1.16738
2025-10-20 05:40:00+00:00,1.16738,1.16752,1.16726,1.16742
2025-10-20 05:45:00+00:00,1.16742,1.16745,1.16736,1.1674
2025-10-20 05:50:00+00:00,1.1674,1.16745,1.16722,1.16726
2025-10-20 05:55:00+00:00,1.16726,1.16741,1.16716,1.16738
2025-10-20 06:00:00+00:00,1.16737,1.16737,1.16672,1.1669
2025-10-20 06:05:00+00:00,1.16689,1.16696,1.16652,1.1666
2025-10-20 06:10:00+00:00,1.16659,1.16661,1.16632,1.16632
2025-10-20 06:15:00+00:00,1.16634,1.16652,1.16596,1.16599
2025-10-20 06:20:00+00:00,1.16597,1.16619,1.16588,1.16602
2025-10-20 06:25:00+00:00,1.166,1.16618,1.16594,1.16611
2025-10-20 06:30:00+00:00,1.1661,1.16654,1.16606,1.16653
2025-10-20 06:35:00+00:00,1.16654,1.16657,1.1662,1.16624
2025-10-20 06:40:00+00:00,1.16624,1.16678,1.16616,1.16664
2025-10-20 06:45:00+00:00,1.16665,1.16672,1.16612,1.1662
2025-10-20 06:50:00+00:00,1.16619,1.16621,1.16594,1.1661
2025-10-20 06:55:00+00:00,1.16612,1.16616,1.16567,1.16585
2025-10-20 07:00:00+00:00,1.16586,1.166,1.1655,1.16568
2025-10-20 07:05:00+00:00,1.16569,1.16599,1.16536,1.16597
2025-10-20 07:10:00+00:00,1.16598,1.16619,1.16584,1.16619
2025-10-20 07:15:00+00:00,1.1662,1.16627,1.16606,1.16622
2025-10-20 07:20:00+00:00,1.16623,1.16638,1.16601,1.1662
2025-10-20 07:25:00+00:00,1.1662,1.16654,1.16614,1.16651
2025-10-20 07:30:00+00:00,1.16652,1.16682,1.16626,1.16664
2025-10-20 07:35:00+00:00,1.16665,1.16674,1.16624,1.16638
2025-10-20 07:40:00+00:00,1.16637,1.16671,1.16634,1.16658
2025-10-20 07:45:00+00:00,1.16658,1.16663,1.16625,1.16628
2025-10-20 07:50:00+00:00,1.16627,1.16646,1.16614,1.16628
2025-10-20 07:55:00+00:00,1.16629,1.16637,1.16598,1.16626
2025-10-20 08:00:00+00:00,1.16625,1.16633,1.16578,1.16626
2025-10-20 08:05:00+00:00,1.16626,1.16642,1.16616,1.16623
2025-10-20 08:10:00+00:00,1.16624,1.16656,1.16621,1.16648
2025-10-20 08:15:00+00:00,1.16647,1.16652,1.16616,1.16632
2025-10-20 08:20:00+00:00,1.16631,1.16637,1.16618,1.1663
2025-10-20 08:25:00+00:00,1.1663,1.16654,1.1663,1.16651
2025-10-20 08:30:00+00:00,1.1665,1.16666,1.16646,1.16656
2025-10-20 08:35:00+00:00,1.16654,1.16654,1.1662,1.16631
2025-10-20 08:40:00+00:00,1.16632,1.16652,1.16622,1.1663
2025-10-20 08:45:00+00:00,1.16631,1.16652,1.1663,1.16643
2025-10-20 08:50:00+00:00,1.16642,1.1665,1.16602,1.16616
2025-10-20 08:55:00+00:00,1.16616,1.16644,1.16609,1.16635
2025-10-20 09:00:00+00:00,1.16637,1.16674,1.16628,1.16642
2025-10-20 09:05:00+00:00,1.1664,1.1664,1.166,1.1662
2025-10-20 09:10:00+00:00,1.16619,1.1664,1.16594,1.16596
2025-10-20 09:15:00+00:00,1.16596,1.16627,1.16592,1.16622
2025-10-20 09:20:00+00:00,1.16624,1.16632,1.16609,1.16626
2025-10-20 09:25:00+00:00,1.16626,1.1664,1.16618,1.16618
2025-10-20 09:30:00+00:00,1.16618,1.16648,1.16592,1.16648
2025-10-20 09:35:00+00:00,1.16648,1.16662,1.16646,1.1666
2025-10-20 09:40:00+00:00,1.16662,1.16678,1.16653,1.16668
2025-10-20 09:45:00+00:00,1.16668,1.16676,1.16652,1.16667
2025-10-20 09:50:00+00:00,1.16668,1.16669,1.16634,1.16638
2025-10-20 09:55:00+00:00,1.16638,1.16638,1.166,1.1662
2025-10-20 10:00:00+00:00,1.1662,1.16632,1.16588,1.1659
2025-10-20 10:05:00+00:00,1.1659,1.16612,1.16584,1.16585
2025-10-20 10:10:00+00:00,1.16584,1.16585,1.16542,1.16578
2025-10-20 10:15:00+00:00,1.16576,1.16577,1.16522,1.16522
2025-10-20 10:20:00+00:00,1.16522,1.16536,1.16516,1.16535
2025-10-20 10:25:00+00:00,1.16534,1.1654,1.16512,1.1654
2025-10-20 10:30:00+00:00,1.1654,1.16555,1.1653,1.16544
2025-10-20 10:35:00+00:00,1.16543,1.1656,1.16539,1.16558
2025-10-20 10:40:00+00:00,1.16559,1.16561,1.16528,1.16535
2025-10-20 10:45:00+00:00,1.16536,1.16564,1.16534,1.16555
2025-10-20 10:50:00+00:00,1.16556,1.16556,1.16531,1.16545
2025-10-20 10:55:00+00:00,1.16544,1.16556,1.16532,1.16534
2025-10-20 11:00:00+00:00,1.16534,1.16534,1.16504,1.16524
2025-10-20 11:05:00+00:00,1.16524,1.1655,1.16514,1.16537
2025-10-20 11:10:00+00:00,1.16537,1.16538,1.16516,1.16534
2025-10-20 11:15:00+00:00,1.16533,1.16542,1.16528,1.16534
2025-10-20 11:20:00+00:00,1.16534,1.16537,1.16508,1.16511
2025-10-20 11:25:00+00:00,1.1651,1.16535,1.16508,1.16523
2025-10-20 11:30:00+00:00,1.16522,1.16522,1.16458,1.16496
2025-10-20 11:35:00+00:00,1.16496,1.16525,1.16491,1.16504
2025-10-20 11:40:00+00:00,1.16504,1.16505,1.16444,1.16465
2025-10-20 11:45:00+00:00,1.16464,1.16501,1.1646,1.16494
2025-10-20 11:50:00+00:00,1.16494,1.16532,1.16494,1.16525
2025-10-20 11:55:00+00:00,1.16524,1.16564,1.1652,1.16564
2025-10-20 12:00:00+00:00,1.16566,1.16588,1.16554,1.16568
2025-10-20 12:05:00+00:00,1.16566,1.16576,1.16546,1.1655
2025-10-20 12:10:00+00:00,1.16549,1.16584,1.16544,1.16582
2025-10-20 12:15:00+00:00,1.16583,1.16604,1.16575,1.16578
2025-10-20 12:20:00+00:00,1.16578,1.16593,1.16568,1.16572
2025-10-20 12:25:00+00:00,1.16573,1.16575,1.16544,1.16546
2025-10-20 12:30:00+00:00,1.16546,1.16558,1.16528,1.16544
2025-10-20 12:35:00+00:00,1.16546,1.16576,1.16527,1.16544
2025-10-20 12:40:00+00:00,1.1654,1.16566,1.16523,1.16552
2025-10-20 12:45:00+00:00,1.16552,1.16578,1.16526,1.16548
2025-10-20 12:50:00+00:00,1.16549,1.16549,1.16524,1.16535
2025-10-20 12:55:00+00:00,1.16534,1.16544,1.16502,1.16535
2025-10-20 13:00:00+00:00,1.16536,1.16544,1.16516,1.16534
2025-10-20 13:05:00+00:00,1.16534,1.16534,1.16511,1.16522
2025-10-20 13:10:00+00:00,1.16522,1.16524,1.16484,1.16508
2025-10-20 13:15:00+00:00,1.16508,1.16508,1.16467,1.16486
2025-10-20 13:20:00+00:00,1.16485,1.16498,1.1648,1.16496
2025-10-20 13:25:00+00:00,1.16498,1.16526,1.16484,1.16524
2025-10-20 13:30:00+00:00,1.16525,1.16534,1.16484,1.16486
2025-10-20 13:35:00+00:00,1.16484,1.16522,1.16464,1.16518
2025-10-20 13:40:00+00:00,1.16518,1.16526,1.16491,1.16502
2025-10-20 13:45:00+00:00,1.16502,1.16515,1.16476,1.16477
2025-10-20 13:50:00+00:00,1.16476,1.16494,1.16464,1.16477
2025-10-20 13:55:00+00:00,1.16476,1.16502,1.16466,1.16493
2025-10-20 14:00:00+00:00,1.16494,1.16519,1.16475,1.16514
2025-10-20 14:05:00+00:00,1.16514,1.16526,1.16494,1.1651
2025-10-20 14:10:00+00:00,1.1651,1.16552,1.16505,1.16544
2025-10-20 14:15:00+00:00,1.16544,1.16571,1.16541,1.1657
2025-10-20 14:20:00+00:00,1.16571,1.1659,1.1656,1.16587
2025-10-20 14:25:00+00:00,1.16588,1.16597,1.16578,1.16589
2025-10-20 14:30:00+00:00,1.1659,1.16599,1.16578,1.1659
2025-10-20 14:35:00+00:00,1.1659,1.16643,1.16584,1.16626
2025-10-20 14:40:00+00:00,1.16626,1.16632,1.16597,1.16608
2025-10-20 14:45:00+00:00,1.16608,1.16624,1.16585,1.16586
2025-10-20 14:50:00+00:00,1.16586,1.16596,1.16558,1.16562
2025-10-20 14:55:00+00:00,1.16564,1.16564,1.16533,1.16538
2025-10-20 15:00:00+00:00,1.16538,1.1655,1.1653,1.16534
2025-10-20 15:05:00+00:00,1.16534,1.16564,1.16532,1.16535
2025-10-20 15:10:00+00:00,1.16536,1.16572,1.16526,1.16567
2025-10-20 15:15:00+00:00,1.16566,1.16609,1.16565,1.166
2025-10-20 15:20:00+00:00,1.166,1.1664,1.166,1.16636
2025-10-20 15:25:00+00:00,1.16636,1.16646,1.16622,1.16631
2025-10-20 15:30:00+00:00,1.1663,1.16632,1.16608,1.1661
2025-10-20 15:35:00+00:00,1.16611,1.16616,1.16588,1.16594
2025-10-20 15:40:00+00:00,1.16596,1.16613,1.16578,1.1658
2025-10-20 15:45:00+00:00,1.16578,1.16581,1.16554,1.16569
2025-10-20 15:50:00+00:00,1.1657,1.16606,1.16557,1.16584
2025-10-20 15:55:00+00:00,1.16584,1.16585,1.16543,1.1655
2025-10-20 16:00:00+00:00,1.16551,1.16562,1.16538,1.16562
2025-10-20 16:05:00+00:00,1.16561,1.16582,1.1656,1.16561
2025-10-20 16:10:00+00:00,1.1656,1.16564,1.16548,1.16553
2025-10-20 16:15:00+00:00,1.16552,1.16576,1.16532,1.16569
2025-10-20 16:20:00+00:00,1.16568,1.16574,1.16518,1.1652
2025-10-20 16:25:00+00:00,1.16519,1.16537,1.16516,1.16519
2025-10-20 16:30:00+00:00,1.16518,1.16535,1.16507,1.16535
2025-10-20 16:35:00+00:00,1.16534,1.16547,1.16521,1.16524
2025-10-20 16:40:00+00:00,1.16524,1.1653,1.16508,1.16512
2025-10-20 16:45:00+00:00,1.16513,1.16534,1.16504,1.1653
2025-10-20 16:50:00+00:00,1.1653,1.1653,1.16494,1.16498
2025-10-20 16:55:00+00:00,1.16498,1.16512,1.16496,1.16496
2025-10-20 17:00:00+00:00,1.16493,1.16514,1.16486,1.16512
