date,type,price,shares,profit_loss
2022-09-13,Buy,251.99001,1,-252.24200001
2022-09-20,Sell (SL),242.45,1,-9.782460000000023
2022-10-07,Buy,234.24001,2,-468.94850002000004
2022-10-11,Sell (SL),225.41,2,-18.11084000000003
2022-10-14,Buy,228.56,2,-457.57712
2022-11-02,Sell (SL),220.10001,2,-17.36018002000001
2022-11-02,Buy,220.10001,2,-440.64022002
2022-11-11,Sell (TP),247.11,2,53.525760000000034
2022-11-18,Buy,241.22,2,-482.92244
2022-11-30,Sell (SIGNAL),255.14,2,27.329719999999973
2023-01-04,Buy,229.10001,2,-458.65822002
2023-02-01,Sell (SIGNAL),252.75,2,46.79448000000001
2023-08-09,Buy,322.23001,1,-322.55224001
2023-09-11,Sell (SIGNAL),337.94,1,15.372050000000005
2023-09-14,Buy,338.70001,1,-339.03871001000005
2023-09-20,Sell (SL),320.76999,1,-18.250789990000012
2023-09-21,Buy,319.53,1,-319.84952999999996
2023-10-25,Sell (SIGNAL),340.67001,1,20.799339990000018
2024-04-18,Buy,404.26999,1,-404.67425999
2024-04-22,Sell (SIGNAL),400.95999,1,-3.7109599900000023
2024-04-25,Buy,399.040009,1,-399.439049009
2024-05-15,Sell (SIGNAL),423.079987,1,23.616898013000018
2024-05-17,Buy,420.20999,1,-420.63019999
2024-05-20,Sell (SIGNAL),425.34,1,4.70466999999997
2024-07-24,Buy,428.89999,1,-429.32888999
2024-07-26,Sell (SIGNAL),425.26999,1,-4.055269989999996
2024-09-06,Buy,401.70001,1,-402.10171001000003
2024-09-13,Sell (SIGNAL),430.59,1,28.459399999999956
2024-10-07,Buy,409.54001,1,-409.94955001
2024-10-11,Sell (SIGNAL),416.32001,1,6.36367999000003
2024-10-25,Buy,428.14999,1,-428.57813999
2024-10-29,Sell (SIGNAL),431.95001,1,3.3680699900000177
2024-10-31,Buy,406.35001,1,-406.75636001
2024-11-06,Sell (SIGNAL),420.17999,1,13.409800009999978
2024-12-03,Buy,431.20001,1,-431.63121001
2024-12-04,Sell (SIGNAL),437.42001,1,5.78257998999997
2024-12-31,Buy,421.5,1,-421.9215
2025-01-07,Sell (SIGNAL),422.37,1,0.4476300000000045
2025-01-10,Buy,418.95001,1,-419.36896001
2025-01-22,Sell (SIGNAL),446.20001,1,26.80379999
2025-01-27,Buy,434.56,1,-434.99456
2025-01-28,Sell (SIGNAL),447.20001,1,12.192809990000018
2025-02-03,Buy,410.92001,1,-411.33093001
2025-02-05,Sell (SIGNAL),413.29001,1,1.9567099900000047
2025-02-07,Buy,409.75,1,-410.15975
2025-02-27,Sell (SL),392.53,1,-17.612530000000028
2025-03-07,Buy,393.31,1,-393.70331
2025-03-10,Sell (SL),380.16,1,-13.530159999999977
2025-03-18,Buy,383.51999,1,-383.90350999000003
2025-04-04,Sell (SL),359.84,1,-24.03983000000003
2025-04-21,Buy,359.12,1,-359.47912
2025-05-01,Sell (TP),425.39999,1,65.85459001
2025-05-02,Buy,435.28,1,-435.71527999999995
2025-06-24,Sell (TP),490.10999,1,54.33988001000001
